"name","short_url","original_url"
"Switch Commerce","https://serp.ly/switch-commerce","http://www.switchcommerce.com/"
"TouchSuite","https://serp.ly/touchsuite","http://www.touchsuite.com/"
"Square Register","https://serp.ly/square-register","https://squareup.com/us/en/point-of-sale"
"SunTrust Merchant Services","https://serp.ly/suntrust-merchant-services","http://www.suntrustmerchantservices.com/"
"TransGlobal Payment Systems","https://serp.ly/transglobal-payment-systems","http://tgpayment.com/"
"Square Online Store","https://serp.ly/square-online-store","https://squareup.com/us/en/online-store"
"SurchX","https://serp.ly/surchx","https://surchx.com/"
"TransNational Payments","https://serp.ly/transnational-payments","https://gotnpayments.com/"
"talech","https://serp.ly/talech","https://www.talech.com/"
"Total Merchant Services","https://serp.ly/total-merchant-services","https://www.totalmerchantservices.com/"
"Talus Payments","https://serp.ly/talus-payments","https://www.taluspay.com/"
"SumUp","https://serp.ly/sumup","http://sumup.com/"
"T1 Payments","https://serp.ly/t1-payments","https://t1payments.com/"
"Squarespace","https://serp.ly/squarespace","https://www.squarespace.com/"
"ProMerchant","https://serp.ly/promerchant","https://www.promerchant.com/"
"Restaurant Manager","https://serp.ly/restaurant-manager","https://www.rmpos.com/"
"Skrill","https://serp.ly/skrill","https://www.skrill.com/"
"SignaPay","https://serp.ly/signapay","https://signapay.com/"
"SpotOn","https://serp.ly/spoton","https://www.spoton.com/"
"Square","https://serp.ly/square","https://squareup.com/us/en"
"Solupay","https://serp.ly/solupay","https://www.solupay.com/"
"Smart Choice Payments","https://serp.ly/smart-choice-payments","https://smartchoicepayments.com/"
"Shift4 Payments","https://serp.ly/shift4-payments","https://www.shift4.com/"
"Square for Retail","https://serp.ly/square-for-retail","https://squareup.com/us/en/point-of-sale/retail"
"Simpay","https://serp.ly/simpay","https://www.simpay.net/"
"Sekure Merchant Solutions","https://serp.ly/sekure-merchant-solutions","https://sekuremerchants.com/"
"SMB Global Payments","https://serp.ly/smb-global-payments","https://smbglobalpayments.com/"
"PNC Merchant Services","https://serp.ly/pnc-merchant-services","http://www.pnc.com/"
"Riverside Payments","https://serp.ly/riverside-payments","https://www.riversidepayments.com/"
"Sam’s Club Merchant Services","https://serp.ly/sams-club-merchant-services","https://www.samsclubms.com/index.html"
"PrimePay","https://serp.ly/primepay","https://primepay.com/"
"SalesVu","https://serp.ly/salesvu","http://www.salesvu.com/"
"Reverse My Fees","https://serp.ly/reverse-my-fees","https://www.reversemyfees.com/"
"Security Credit Services","https://serp.ly/security-credit-services","http://www.securitycreditservicesllc.com/"
"Payzer","https://serp.ly/payzer","https://payzerware.com/"
"SBGA","https://serp.ly/sbga","https://www.sbga.com/"
"Secure Trading","https://serp.ly/secure-trading","http://www.securetrading.com/"
"Priority Payment Systems","https://serp.ly/priority-payment-systems","http://www.prioritypaymentsystems.com/"
"Rectangle Health","https://serp.ly/rectangle-health","http://rectanglehealth.com/"
"RentPayment","https://serp.ly/rentpayment","https://www.rentpayment.com/"
"Pivotal Payments","https://serp.ly/pivotal-payments","https://www.pivotalpayments.com/"
"Prestige Payment Systems","https://serp.ly/prestige-payment-systems","http://www.affordablepaymentsolution.com/"
"Securus Payments","https://serp.ly/securus-payments","http://www.securuspayments.com/"
"Premier One Payments","https://serp.ly/premier-one-payments","https://www.premieronepayments.com/"
"PayJunction","https://serp.ly/payjunction","https://www.payjunction.com/"
"Orion Payment Systems (Houston)","https://serp.ly/orion-payment-systems-houston","http://orionps.com/"
"National Merchant Services","https://serp.ly/national-discount-merchant-services-ndms","https://www.ndmscorp.com/"
"National Discount Merchant Services (NDMS)","https://serp.ly/national-discount-merchant-services-ndms","https://www.ndmscorp.com/"
"PayPartners","https://serp.ly/paypartners","http://pay-partners.com/"
"Payroc","https://serp.ly/payroc","https://payroc.com/"
"PaySimple","https://serp.ly/paysimple","http://paysimple.com/"
"PayPal","https://serp.ly/paypal","http://www.paypal.com/"
"Paysafe","https://serp.ly/paysafe","https://www.paysafe.com/en/"
"PayPal Here","https://serp.ly/paypal-here","http://www.paypal.com/"
